RA;QUANTIDADE
PLANO PILOTO;1240
CEILÂNDIA;204
SÃO SEBASTIÃO;177
TAGUATINGA;174
GUARÁ;147
SAMAMBAIA;141
GAMA;92
NÃO INFORMADO / INVÁLIDO;90
SOBRADINHO;86
ÁGUAS CLARAS;79
JARDIM BOTÂNICO;73
CRUZEIRO;71
RECANTO DAS EMAS;58
RIACHO FUNDO II;45
PLANALTINA;43
SANTA MARIA;42
LAGO SUL;32
PARANOÁ;25
RIACHO FUNDO;25
NÚCLEO BANDEIRANTE;23
BRAZLÂNDIA;22
LAGO NORTE;20
CANDANGOLÂNDIA;15
SUDOESTE/OCTOGONAL;11
VICENTE PIRES;6
PARK WAY;5
ITAPOÃ;5
SOBRADINHO II;4
VARJÃO;2
VALPARAÍSO DE GOIÁS (ENTORNO);2
SCIA/ESTRUTURAL;1
SANTO ANTÔNIO DO DESCOBERTO (ENTORNO);1
LUZIÂNIA (ENTORNO);1
OUTROS;1
ARAPOANGA;1
